SYMBOL	n_ptv	n_missense	n_syn	n_nonsyn
BEND3	0	1	0	1
BHLHB9	1	0	0	1
BHLHE40	0	0	1	0
BICD1	0	2	0	2
BIRC6	0	1	1	1
BLMH	0	0	1	0
BLNK	0	1	0	1
BMP1	0	1	0	1
BMP5	0	2	0	2
BMP6	1	0	0	1
BMPER	1	0	0	1
BMPR2	0	1	0	1
BMS1	0	1	0	1
BOD1L1	0	2	1	2
BOK	0	1	0	1
BPIFC	0	1	0	1
BPTF	0	1	0	1
BRAF	0	3	0	3
BRD2	0	1	0	1
BRD4	0	2	0	2
BRF1	0	1	0	1
BRINP1	0	0	1	0
BRINP3	0	2	0	2
BRIP1	0	1	0	1
BRMS1L	0	1	0	1
BRPF1	0	1	0	1
BRPF3	0	1	0	1
BRSK2	0	0	1	0
BRWD1	0	1	0	1
BRWD3	0	2	0	2
BSG	0	1	0	1
BSN	0	1	0	1
BTBD2	0	0	1	0
BTBD6	0	1	0	1
BTN3A3	0	2	0	2
BUB1	0	1	0	1
BZRAP1	0	1	1	1
C10orf10	0	0	1	0
C10orf105	0	0	0	0
C10ORF68	0	0	1	0
C10orf90	0	1	0	1
C11orf30	0	1	0	1
C11orf57	0	1	0	1
C12orf4	0	0	0	0
C12orf56	0	1	0	1
C13orf35	0	1	0	1
C15orf39	0	1	0	1
C15orf52	0	0	1	0
C17orf47	0	1	0	1
C17orf66	0	0	1	0
C17orf70	0	0	1	0
C18orf63	0	0	1	0
C18orf8	0	1	0	1
C19orf35	0	1	0	1
C19orf40	0	1	0	1
C19orf48	0	0	1	0
C1GALT1	0	0	1	0
C1orf168	0	1	0	1
C1orf173	0	0	1	0
C1orf194	0	1	0	1
C1orf198	1	0	0	1
C1orf65	0	1	0	1
C1orf94	0	1	0	1
C1QTNF2	0	1	0	1
C1RL	0	2	0	2
C20orf112	1	0	0	1
C20orf141	0	0	1	0
C20orf194	0	1	0	1
C20orf26	0	1	0	1
C21orf58	0	0	1	0
C21orf59	0	0	1	0
C21orf62	0	1	0	1
C22orf39	0	1	0	1
C2CD4B	0	0	1	0
C2orf42	0	1	0	1
C2orf43	0	1	0	1
C2orf71	0	0	1	0
C3	1	0	2	1
C3orf70	0	1	0	1
C5orf42	0	1	0	1
C5orf60	0	1	0	1
C6orf120	0	1	0	1
C7orf33	0	1	0	1
C8orf33	0	1	0	1
C8orf58	0	1	0	1
C9orf3	0	0	1	0
C9orf50	0	1	0	1
C9orf64	0	1	0	1
C9orf84	0	1	0	1
CA13	1	0	0	1
CA3	0	1	0	1
CA7	0	0	1	0
CABIN1	0	2	0	2
CACNA1A	1	2	0	3
CACNA1C	0	2	0	2
CACNA1E	0	2	0	2
CACNA1H	0	3	0	3
CACNA1I	0	1	0	1
CACNA2D4	0	1	0	1
CACNG3	0	0	1	0
CACTIN	0	0	0	0
CAD	0	3	0	3
CADM1	0	1	0	1
CADPS	0	1	0	1
CALCRL	0	1	0	1
CALML6	0	1	0	1
CAMK2A	1	0	1	1
CAMSAP1	0	1	0	1
CAND1	0	1	1	1
CAPG	0	1	0	1
CAPN9	0	0	2	0
CAPZB	0	1	0	1
CARD14	1	1	0	2
CARS2	0	0	1	0
CASC1	0	1	0	1
CASC3	0	0	1	0
CASC5	0	1	0	1
CASK	1	0	0	1
CASKIN2	0	1	0	1
CASP8	0	0	1	0
CASP9	0	1	0	1
CASZ1	0	1	3	1
CATSPERB	0	1	0	1
CATSPERG	1	0	0	1
CBL	1	0	1	1
CBLC	0	1	0	1
CBX8	0	1	0	1
CC2D2A	0	1	0	1
CCAR1	0	1	0	1
CCAR2	0	1	0	1
CCDC108	0	0	1	0
CCDC112	0	1	0	1
CCDC113	0	1	0	1
CCDC129	1	3	0	4
CCDC13	0	1	1	1
CCDC132	0	0	1	0
CCDC144NL	0	1	0	1
CCDC154	0	1	0	1
CCDC158	0	1	0	1
CCDC171	0	1	1	1
CCDC180	0	1	0	1
CCDC25	0	0	1	0
CCDC28A	0	0	1	0
CCDC36	0	1	0	1
CCDC39	0	0	1	0
CCDC53	0	1	0	1
CCDC82	0	1	0	1
CCDC85A	0	1	0	1
CCDC86	0	1	0	1
CCDC88A	0	2	0	2
CCDC88B	0	0	1	0
CCDC88C	0	1	0	1
CCDC92	0	1	0	1
CCDC93	0	0	1	0
CCM2	0	1	0	1
CCNB2	0	0	1	0
CCNB3	0	1	0	1
CCND1	0	0	1	0
CCNL1	1	0	1	1
CCR2	1	0	0	1
CCR4	0	1	0	1
CCSER1	1	0	0	1
CCT3	0	1	0	1
CD109	0	1	0	1
CD164	0	1	0	1
CD1C	1	1	0	2
CD2	0	1	0	1
CD244	0	1	0	1
CD300LB	0	1	0	1
CD3EAP	0	1	0	1
CD46	0	1	0	1
CD5	0	1	0	1
CD52	0	0	0	0
CD86	0	1	0	1
CD97	0	1	1	1
CDADC1	0	1	0	1
CDAN1	1	0	0	1
CDC14A	0	1	1	1
CDC27	1	0	0	1
CDC42	0	1	0	1
CDC42BPB	0	1	0	1
CDC42EP3	0	1	0	1
CDC5L	0	0	1	0
CDCP2	0	0	1	0
CDH12	0	1	0	1
CDH13	0	1	0	1
CDH18	0	0	1	0
CDH20	0	1	0	1
CDH24	0	1	0	1
CDH3	0	1	0	1
CDH9	0	1	0	1
CDHR2	0	1	1	1
CDHR4	0	1	0	1
CDK13	1	5	0	6
CDK5	0	0	1	0
CDK5R2	0	1	0	1
CDK5RAP2	0	1	0	1
CDKAL1	0	1	0	1
CDKL2	1	1	0	2
CDKN1A	0	0	1	0
CDKN1B	0	1	0	1
CDKN3	0	1	0	1
CDR1	0	0	1	0
CDR2	0	1	0	1
CDYL2	0	1	1	1
CEACAM16	0	0	1	0
CEACAM21	0	1	0	1
CEBPZ	0	0	1	0
CECR2	0	1	0	1
CELF3	0	1	0	1
CELSR1	0	1	0	1
CELSR2	0	0	1	0
CELSR3	0	1	1	1
CENPE	0	1	0	1
CEP120	0	1	0	1
CEP170	0	1	0	1
CEP170B	0	1	0	1
CEP250	0	1	0	1
CEP290	0	2	1	2
CEP85	0	1	1	1
CEP95	1	0	0	1
CES2	0	1	0	1
CES4A	0	0	1	0
CFH	0	2	0	2
CHAD	0	2	0	2
CHAF1B	0	1	0	1
CHAMP1	1	0	0	1
CHAT	1	0	0	1
CHD1	0	1	0	1
CHD4	0	8	0	8
CHD5	0	1	0	1
CHD7	13	5	0	18
CHL1	0	1	0	1
CHMP4C	0	1	0	1
CHMP7	0	0	1	0
CHORDC1	0	1	0	1
CHRNA2	0	1	0	1
CHRNB4	0	1	0	1
CHRNE	0	1	0	1
CHST5	0	0	1	0
CHST9	0	0	1	0
CHSY1	0	2	0	2
CIDEB	0	0	1	0
CIT	0	1	1	1
CKAP2	0	0	1	0
CLASP2	0	1	0	1
CLASRP	0	0	0	0
CLCN7	0	1	0	1
CLDN4	0	1	0	1
CLDND1	0	0	1	0
CLIP3	0	1	0	1
CLK1	0	1	0	1
CLK3	0	1	0	1
CLNK	0	1	0	1
CLPB	0	0	2	0
CLPTM1	0	1	0	1
CLSTN1	0	1	0	1
CLSTN3	0	1	0	1
CLTA	0	1	0	1
CLTCL1	0	1	0	1
CLU	0	0	1	0
CLUH	0	2	0	2
CLVS1	0	0	1	0
CMPK2	0	0	1	0
CMSS1	0	1	0	1
CNBD2	0	0	1	0
CNDP1	0	1	1	1
CNGA2	0	1	0	1
CNGA3	0	1	0	1
CNGB1	0	0	1	0
CNKSR1	0	1	0	1
CNKSR3	0	0	1	0
CNN1	0	1	0	1
CNOT1	1	0	0	1
CNOT3	0	1	0	1
CNOT6	0	1	0	1
CNPPD1	0	0	1	0
CNPY4	0	1	0	1
CNTF	0	1	0	1
CNTLN	0	1	0	1
CNTN2	0	1	0	1
CNTN6	0	1	1	1
COBLL1	0	1	0	1
COG2	0	1	0	1
COL11A2	0	1	0	1
COL15A1	1	2	0	3
COL16A1	0	1	0	1
COL1A2	0	0	1	0
COL20A1	0	1	2	1
COL23A1	1	0	0	1
COL4A1	0	1	0	1
COL4A2	0	1	1	1
COL4A3	1	0	0	1
COL4A3BP	0	1	0	1
COL5A3	0	1	0	1
COL6A6	0	2	0	2
COL7A1	0	1	0	1
COL8A2	1	0	0	1
COLEC11	0	0	1	0
COLGALT1	0	2	0	2
COLGALT2	0	1	0	1
COLQ	0	0	0	0
