hgnc	chrom	lof_indel	lof_snv	missense_indel	missense_snv	p_lof	p_func	fdr_lof	bonferroni_lof
PLXDC2	10	0	1	0	0	5.67752601934378e-06	3.39550318292475e-05	6.33407054906252e-05	0.0143868509330171
PLXNA1	3	0	0	0	3	1	9.78643332632515e-13	1	1
PLXNA2	1	1	0	0	0	1.67638650611829e-05	0.000151845730823269	0.000109766496292086	0.0424796340650375
PLXNA3	X	0	0	0	1	1	3.85136275350799e-05	1	1
PLXNB1	3	0	0	0	1	1	0.00016193879387964	1	1
PLXNC1	12	1	0	0	1	1.35287131180071e-05	5.32948550132541e-09	9.40357010414736e-05	0.0342817590410299
PLXND1	3	0	0	0	2	1	1.14500097846142e-08	1	1
PMS2	7	0	0	0	1	1	5.94524024140762e-05	1	1
PNLIPRP2	10	1	0	0	0	2.91909520239032e-06	2.68634899747888e-05	6.07946138686368e-05	0.00739698724285707
PNPLA3	22	0	0	0	1	1	3.78679299232729e-05	1	1
PODXL	7	0	0	0	1	1	3.64154875391673e-05	1	1
POGZ	1	1	1	0	1	9.0557187390039e-11	1.46957188299596e-13	6.55634036703883e-09	2.29471912846359e-07
POLA2	11	0	0	0	1	1	4.07528095539408e-05	1	1
POLE	12	0	1	0	2	2.20716521972335e-05	1.0564052482965e-12	0.000138439521454925	0.0559295666677896
POLL	10	0	0	0	1	1	4.14873320164646e-05	1	1
POLQ	3	0	1	1	0	2.33913561046438e-05	1.16430482510834e-08	0.000145278667571489	0.0592736963691674
POLR2A	17	0	0	0	1	1	0.000156871998336554	1	1
POLR2M	15	0	0	0	1	1	2.60529286924534e-05	1	1
POLR3A	10	0	0	0	1	1	9.6100909586389e-05	1	1
POLR3C	1	0	0	0	1	1	3.52986097208052e-05	1	1
POLRMT	19	0	0	0	1	1	0.000105273708078934	1	1
POMP	13	0	0	0	1	1	8.0802923869619e-06	1	1
POU3F1	1	0	0	0	1	1	2.17616354847806e-05	1	1
POU3F3	2	0	0	0	1	1	2.9325237955153e-05	1	1
PPAP2A	5	0	0	0	1	1	1.63003481901939e-05	1	1
PPARA	22	0	0	0	1	1	3.75531521416591e-05	1	1
PPFIA3	19	0	0	0	1	1	0.000109037329745502	1	1
PPFIBP2	11	0	0	0	1	1	5.82103369614474e-05	1	1
PPIB	15	0	0	0	1	1	1.77410252626543e-05	1	1
PPIG	2	0	0	0	1	1	4.658128534307e-05	1	1
PPIL1	6	0	0	0	1	1	1.27555493008499e-05	1	1
PPIL2	22	0	0	0	1	1	4.24672396672065e-05	1	1
PPIP5K1	15	0	0	0	1	1	0.000100597651981585	1	1
PPL	16	0	1	0	1	1.58034302330416e-05	1.08922551663324e-08	0.00010678904589474	0.0400458922105273
PPP1CB	2	0	0	0	2	1	2.19870953425452e-10	1	1
PPP1R12A	12	0	0	0	1	1	5.5963051835258e-05	1	1
PPP1R13B	14	0	0	0	1	1	8.51484851590364e-05	1	1
PPP1R3A	7	0	0	0	1	1	6.11367505821925e-05	1	1
PPP1R3C	10	0	0	0	1	1	2.11759338929782e-05	1	1
PPP1R7	2	0	0	0	1	1	2.85061137879941e-05	1	1
PPP2R2C	4	0	0	0	1	1	3.8883844880193e-05	1	1
PPP4C	16	0	0	0	1	1	2.77887070089848e-05	1	1
PPP6R1	19	0	0	0	1	1	6.37204873391631e-05	1	1
PPT1	1	0	0	0	1	1	2.1351400136871e-05	1	1
PPWD1	5	0	0	0	1	1	4.44291179723311e-05	1	1
PQBP1	X	0	0	0	1	1	5.33568107960976e-06	1	1
PRCP	11	0	1	0	0	4.91367387514744e-06	3.11878150123738e-05	6.25690934654453e-05	0.0124512495996236
PRDM1	6	0	0	0	2	1	1.71081153436592e-09	1	1
PREP	6	0	0	0	1	1	4.66042290559267e-05	1	1
PREX2	8	0	0	0	2	1	5.46184441229171e-09	1	1
PRG4	1	1	0	0	0	9.4699012544584e-06	8.05781482493109e-05	7.61076252761163e-05	0.0239967297787976
PRICKLE3	X	0	0	0	1	1	1.2252697024951e-05	1	1
PRKAA2	1	1	0	0	0	5.31904854574345e-06	3.48367867935899e-05	6.29388270054187e-05	0.0134784690149139
PRKACB	1	0	1	0	0	3.52051083932826e-06	2.10703017239972e-05	6.07946138686368e-05	0.00892097446685782
PRKAR1A	17	0	0	0	1	1	2.87159871420503e-05	1	1
PRKCH	14	0	0	0	2	1	1.47191398540645e-09	1	1
PRKD1	14	0	0	0	4	1	5.32788570075797e-19	1	1
PRKD3	2	0	0	0	1	1	5.74688405607651e-05	1	1
PRKDC	8	0	0	0	1	1	0	1	1
PRKG1	10	0	0	0	2	1	9.05761432907652e-10	1	1
PRMT6	1	0	0	0	1	1	3.46558319685791e-05	1	1
PRMT8	12	0	0	0	1	1	2.99976190474006e-05	1	1
PROCA1	17	0	0	0	1	1	2.40700800288376e-05	1	1
PRPF38A	1	1	0	0	0	4.37098041738513e-06	2.71762420451437e-05	6.11032225490884e-05	0.0110760643776539
PRPF4	9	0	0	0	1	1	3.84560521926863e-05	1	1
PRPF4B	6	0	0	0	1	1	6.82014067385067e-05	1	1
PRPF8	17	0	0	0	2	1	1.65188730265609e-08	1	1
PRPS2	X	0	0	0	1	1	5.81207167078861e-06	1	1
PRR14L	22	0	0	0	1	1	2.34531368429828e-05	1	1
PRRC2A	6	0	0	0	1	1	0.000176754009327926	1	1
PRRC2B	9	1	1	0	0	1.90251067088957e-10	1.5435390711946e-08	1.20807767507e-08	4.82096204003418e-07
PRRG4	11	0	0	0	1	1	1.31724165060728e-05	1	1
PSAT1	9	0	0	0	1	1	2.42961916260638e-05	1	1
PSMC1	14	0	0	0	1	1	2.78427889369708e-05	1	1
PSMC4	19	0	0	0	1	1	3.40017311902599e-05	1	1
PSMD12	17	1	0	0	0	5.11526428879178e-06	3.14934084265537e-05	6.28181832348908e-05	0.0129620797077984
PSMD6	3	0	0	0	1	1	2.85545949215232e-05	1	1
PSMD8	19	0	0	0	1	1	1.33863262887105e-05	1	1
PSME1	14	0	0	0	1	1	1.58820793334651e-05	1	1
PSPC1	13	0	0	0	1	1	4.46676604218802e-05	1	1
PSTPIP2	18	0	0	0	2	1	2.43632527336681e-10	1	1
PTAR1	9	0	0	0	1	1	2.22736209056125e-05	1	1
PTBP1	19	0	0	0	1	1	5.08675934765173e-05	1	1
PTCD3	2	0	0	0	1	1	4.42611822962517e-05	1	1
